request_id,request_datetime,state,urban_rural,population_density_per_sqkm,building_type,dwelling_floors,floor_number,distance_to_exchange_km,distance_to_fiber_km,technology_type,existing_infrastructure,terrain_type,soil_type,vegetation_density,road_access_type,temperature_c,rain_mm_last24h,wind_speed_kmh,storm_flag,flood_warning_flag,bushfire_warning_flag,crew_available_at_request,backlog_open_jobs_region,public_holiday_flag,day_of_week,time_of_day_bucket,sla_hours,actual_eta_hours
REQ_00001,2024-10-29T22:00:00,VIC,Urban,6677.53,Townhouse,2,1,2.34,0.39,FTTP,None,Flat,Sand,Medium,Sealed,7.0,0.0,11.1,0,0,0,1,0,0,Tuesday,Night,83,97.1
REQ_00002,2024-07-08T19:00:00,VIC,Urban,5475.75,Highrise_Office,34,28,4.87,0.78,HFC,Cable,Outback,Mixed,Low,Sealed,16.6,0.0,3.2,0,0,0,1,9,0,Monday,Evening,64,97.9
REQ_00003,2024-08-12T17:00:00,NSW,Rural,190.03,Detached_House,2,1,13.08,10.4,HFC,ADSL,Hilly,Clay,High,Sealed,20.3,4.4,27.6,0,0,0,0,7,0,Monday,Evening,101,128.8
REQ_00004,2024-06-09T03:00:00,VIC,Urban,2701.55,Townhouse,2,2,4.65,2.21,Fixed_Wireless,Cable,Flat,Mixed,Medium,Seasonal,14.6,0.2,21.3,0,0,0,1,27,0,Sunday,Night,86,122.9
REQ_00005,2024-07-21T11:00:00,ACT,Urban,5445.72,Townhouse,2,1,0.28,1.33,Fixed_Wireless,Cable,Mountainous,Clay,Medium,Sealed,13.3,0.0,8.6,0,0,0,0,18,0,Sunday,Morning,76,130.8
REQ_00006,2024-04-12T06:00:00,WA,Rural,135.42,Apartment,7,3,28.94,15.93,Fixed_Wireless,4G_only,Coastal,Rock,Medium,Unsealed,28.7,9.7,18.7,0,0,0,1,4,0,Friday,Morning,104,127.2
REQ_00007,2024-09-06T01:00:00,QLD,Urban,1665.22,Detached_House,1,1,2.48,1.73,HFC,4G_only,Flat,Clay,Medium,Sealed,18.3,1.8,18.4,0,0,0,1,3,0,Friday,Night,72,70.7
REQ_00008,2024-05-11T13:00:00,NT,Urban,7223.04,Industrial,2,2,2.39,0.73,HFC,None,Mountainous,Sand,Low,Sealed,31.0,0.6,12.2,0,0,0,0,6,0,Saturday,Afternoon,60,119.2
REQ_00009,2024-09-01T08:00:00,TAS,Urban,3481.08,Apartment,8,5,3.52,0.88,FTTP,5G_available,Mountainous,Clay,Medium,Sealed,7.7,0.0,10.9,0,0,0,1,7,1,Sunday,Morning,79,95.3
REQ_00010,2024-01-30T02:00:00,NT,Urban,5462.17,Detached_House,1,1,1.86,1.94,FTTP,Cable,Mountainous,Mixed,High,Sealed,29.4,2.4,5.0,0,0,0,1,13,0,Tuesday,Night,82,117.0
REQ_00011,2024-07-01T21:00:00,WA,Remote,19.02,Detached_House,1,1,41.19,32.14,HFC,None,Flat,Sand,Low,Sealed,24.1,2.6,5.4,0,0,0,1,5,0,Monday,Evening,87,82.0
REQ_00012,2024-05-01T07:00:00,ACT,Suburban,740.44,Small_Business,2,2,4.22,2.06,FTTN,5G_available,Outback,Rock,High,Unsealed,22.5,3.0,16.6,0,0,0,1,3,0,Wednesday,Morning,75,117.2
REQ_00013,2024-03-26T09:00:00,NSW,Suburban,2990.63,Apartment,14,7,1.83,1.11,HFC,Cable,Mountainous,Rock,Low,Sealed,25.9,5.5,17.4,0,0,0,1,15,0,Tuesday,Morning,70,108.1
REQ_00014,2024-12-17T21:00:00,NT,Urban,1559.78,Industrial,1,1,0.97,1.69,Fixed_Wireless,ADSL,Outback,Clay,Medium,Sealed,28.8,2.5,5.5,0,0,0,1,4,0,Tuesday,Evening,92,108.9
REQ_00015,2024-09-07T15:00:00,SA,Rural,150.11,Highrise_Office,26,12,26.42,25.82,HFC,None,Hilly,Sand,Medium,Sealed,19.3,10.6,3.0,0,0,0,1,35,0,Saturday,Afternoon,104,153.3
REQ_00016,2024-11-29T04:00:00,VIC,Rural,102.34,Townhouse,2,1,49.74,19.33,FTTP,None,Outback,Sand,Low,Sealed,13.6,0.0,17.6,0,0,0,1,6,0,Friday,Night,97,167.4
REQ_00017,2024-01-08T22:00:00,VIC,Remote,15.98,Highrise_Office,10,2,28.73,37.51,Fixed_Wireless,None,Coastal,Clay,Low,Unsealed,19.9,0.0,29.1,0,0,0,1,69,0,Monday,Night,97,150.4
REQ_00018,2024-08-29T17:00:00,ACT,Remote,40.66,Highrise_Office,27,26,2.25,25.49,Fixed_Wireless,Cable,Mountainous,Mixed,High,Sealed,20.8,0.0,13.7,0,0,0,0,32,0,Thursday,Evening,110,166.2
REQ_00019,2024-02-05T13:00:00,NT,Rural,68.99,Small_Business,2,2,3.46,2.46,FTTP,None,Mountainous,Sand,Medium,Sealed,29.1,0.0,23.7,0,0,0,1,22,0,Monday,Afternoon,95,149.8
REQ_00020,2024-10-17T06:00:00,WA,Urban,2399.3,Industrial,2,2,0.4,1.26,HFC,None,Flat,Rock,Low,Sealed,15.1,0.7,8.1,0,0,0,0,1,0,Thursday,Morning,68,105.5
REQ_00021,2024-01-22T08:00:00,NT,Urban,4375.29,Detached_House,1,1,1.54,2.87,Fixed_Wireless,4G_only,Outback,Mixed,Low,Sealed,29.1,1.8,28.2,0,0,0,1,4,0,Monday,Morning,87,97.4
REQ_00022,2024-08-04T04:00:00,ACT,Urban,2112.02,Apartment,16,16,0.67,1.53,HFC,ADSL,Coastal,Mixed,High,Sealed,13.1,0.9,13.0,0,0,0,1,14,0,Sunday,Night,61,53.5
REQ_00023,2024-11-03T22:00:00,VIC,Urban,1599.48,Industrial,4,1,3.48,1.89,FTTN,4G_only,Hilly,Clay,Low,Sealed,14.7,3.8,22.4,0,0,0,1,12,1,Sunday,Night,78,97.2
REQ_00024,2024-06-12T01:00:00,ACT,Urban,2843.45,Small_Business,2,1,0.65,2.08,FTTP,5G_available,Coastal,Sand,Low,Seasonal,21.8,0.0,22.1,0,0,0,0,25,0,Wednesday,Night,68,106.5
REQ_00025,2024-01-18T04:00:00,NSW,Remote,2.92,Detached_House,2,2,22.33,23.17,FTTP,ADSL,Hilly,Mixed,High,Sealed,24.8,0.0,19.2,0,0,0,1,13,0,Thursday,Night,106,115.3
REQ_00026,2024-08-23T04:00:00,NSW,Remote,37.26,Townhouse,2,2,25.83,16.2,Satellite,4G_only,Mountainous,Mixed,Medium,Unsealed,20.8,0.1,18.1,0,0,0,1,9,0,Friday,Night,110,127.3
REQ_00027,2024-07-06T03:00:00,NT,Urban,3636.32,Townhouse,2,2,3.99,0.36,FTTP,None,Outback,Sand,Medium,Sealed,25.9,1.4,14.9,0,0,0,1,32,0,Saturday,Night,77,193.9
REQ_00028,2024-02-19T15:00:00,NT,Suburban,681.91,Highrise_Office,36,29,0.61,2.96,FTTP,5G_available,Flat,Clay,Low,Sealed,34.1,0.4,24.2,0,0,0,1,64,0,Monday,Afternoon,63,99.3
REQ_00029,2024-03-16T10:00:00,WA,Urban,6551.45,Highrise_Office,16,3,0.73,1.53,FTTP,Cable,Outback,Sand,Medium,Sealed,28.3,0.0,12.7,0,0,0,0,1,0,Saturday,Morning,60,96.6
REQ_00030,2024-02-08T16:00:00,TAS,Rural,48.6,Detached_House,2,1,4.07,35.75,HFC,ADSL,Mountainous,Mixed,Low,Sealed,16.4,1.3,18.8,0,0,0,1,14,0,Thursday,Afternoon,97,113.6
REQ_00031,2024-05-29T08:00:00,NT,Urban,5579.13,Apartment,24,11,1.55,2.86,FTTP,Cable,Outback,Sand,Low,Sealed,32.0,1.9,22.8,0,0,0,1,3,0,Wednesday,Morning,67,77.1
REQ_00032,2024-11-24T19:00:00,SA,Urban,5418.08,Townhouse,2,1,4.71,1.31,Fixed_Wireless,4G_only,Mountainous,Rock,Low,Unsealed,18.8,1.6,16.1,0,0,0,0,7,0,Sunday,Evening,89,155.8
REQ_00033,2024-06-22T06:00:00,SA,Suburban,1482.47,Industrial,1,1,2.45,1.3,HFC,Cable,Outback,Rock,High,Sealed,24.2,5.0,14.6,0,0,0,1,122,0,Saturday,Morning,80,156.1
REQ_00034,2024-10-28T21:00:00,QLD,Urban,2832.79,Apartment,3,2,4.42,2.3,Fixed_Wireless,None,Mountainous,Clay,Medium,Sealed,24.1,0.0,12.8,0,0,0,1,5,0,Monday,Evening,72,109.1
REQ_00035,2024-11-25T05:00:00,SA,Suburban,2479.54,Townhouse,2,1,3.97,1.95,Satellite,4G_only,Flat,Mixed,High,Sealed,18.3,1.8,15.4,0,0,0,1,12,0,Monday,Night,90,88.4
REQ_00036,2024-06-26T13:00:00,TAS,Rural,92.93,Industrial,2,1,35.49,32.06,Satellite,None,Coastal,Mixed,Medium,Sealed,18.7,0.8,18.7,0,0,0,0,0,0,Wednesday,Afternoon,101,136.9
REQ_00037,2024-06-08T02:00:00,QLD,Suburban,1949.12,Townhouse,2,1,3.01,1.26,HFC,None,Hilly,Sand,Low,Unsealed,24.8,2.6,19.5,0,0,0,1,31,0,Saturday,Night,77,132.0
REQ_00038,2024-10-05T05:00:00,NSW,Rural,22.3,Detached_House,2,2,19.48,20.63,HFC,Cable,Mountainous,Mixed,High,Unsealed,11.1,2.5,9.4,0,0,0,1,38,1,Saturday,Night,87,160.8
REQ_00039,2024-01-13T14:00:00,WA,Rural,77.24,Detached_House,1,1,27.5,29.1,Fixed_Wireless,None,Mountainous,Mixed,High,Unsealed,25.2,4.6,8.7,0,0,0,1,0,0,Saturday,Afternoon,101,139.6
REQ_00040,2024-03-23T08:00:00,WA,Urban,6964.61,Industrial,2,1,1.85,1.47,FTTP,4G_only,Coastal,Clay,Low,Seasonal,28.2,0.3,12.6,0,0,0,1,20,0,Saturday,Morning,67,88.4
REQ_00041,2024-04-13T00:00:00,TAS,Urban,3693.4,Detached_House,1,1,1.91,2.96,FTTP,Cable,Coastal,Rock,Low,Sealed,14.8,0.0,19.5,0,0,0,0,4,1,Saturday,Night,70,89.6
REQ_00042,2024-12-07T11:00:00,SA,Urban,1534.45,Highrise_Office,26,19,4.14,2.18,FTTN,5G_available,Outback,Rock,High,Sealed,22.2,1.3,24.9,0,0,0,1,51,0,Saturday,Morning,79,125.5
REQ_00043,2024-09-16T17:00:00,SA,Urban,6490.57,Townhouse,2,2,1.74,1.82,FTTP,Cable,Mountainous,Rock,Medium,Seasonal,15.4,1.4,2.1,0,0,0,1,3,0,Monday,Evening,67,111.5
REQ_00044,2024-05-25T10:00:00,VIC,Urban,3767.64,Highrise_Office,14,2,0.8,2.22,FTTP,None,Coastal,Sand,Medium,Unsealed,26.7,7.4,18.9,0,0,0,1,2,0,Saturday,Morning,73,119.1
REQ_00045,2024-04-30T18:00:00,WA,Urban,5823.78,Apartment,28,10,2.08,2.47,Satellite,5G_available,Outback,Rock,Medium,Sealed,22.9,0.9,6.9,0,0,0,1,20,0,Tuesday,Evening,86,102.9
REQ_00046,2024-06-17T01:00:00,SA,Suburban,1858.88,Industrial,3,2,4.71,1.92,FTTN,ADSL,Mountainous,Clay,Low,Sealed,19.7,0.2,17.7,0,0,0,1,11,0,Monday,Night,66,103.5
REQ_00047,2024-02-16T16:00:00,ACT,Suburban,2267.45,Detached_House,2,2,3.63,1.53,HFC,ADSL,Outback,Sand,Low,Sealed,19.3,1.3,17.1,0,0,0,1,9,0,Friday,Afternoon,79,95.5
REQ_00048,2024-04-08T19:00:00,TAS,Suburban,2305.63,Small_Business,1,1,2.91,2.18,HFC,Cable,Hilly,Sand,Low,Sealed,20.1,1.7,5.6,0,0,0,1,5,0,Monday,Evening,70,65.9
REQ_00049,2024-04-11T19:00:00,TAS,Urban,7427.04,Detached_House,1,1,0.29,2.63,HFC,None,Hilly,Clay,Low,Sealed,19.3,2.6,20.8,0,0,0,1,18,0,Thursday,Evening,69,84.6
REQ_00050,2024-06-21T18:00:00,NT,Suburban,2341.11,Apartment,10,1,0.74,2.96,FTTN,4G_only,Outback,Clay,Medium,Sealed,29.9,4.5,15.4,0,0,0,1,7,0,Friday,Evening,68,103.5
REQ_00051,2024-09-26T00:00:00,ACT,Urban,1530.11,Industrial,3,2,4.62,1.1,HFC,4G_only,Flat,Mixed,Low,Unsealed,17.5,0.8,8.5,0,0,0,1,9,0,Thursday,Night,78,81.3
REQ_00052,2024-05-28T20:00:00,NT,Urban,7446.5,Detached_House,2,2,0.26,2.02,Satellite,None,Hilly,Mixed,Medium,Seasonal,33.2,0.0,8.6,0,0,0,1,10,0,Tuesday,Evening,72,94.5
REQ_00053,2024-04-13T10:00:00,TAS,Remote,11.29,Small_Business,2,1,3.75,19.41,HFC,4G_only,Outback,Mixed,High,Sealed,16.9,3.5,15.9,0,0,0,1,11,0,Saturday,Morning,101,120.8
REQ_00054,2024-05-18T23:00:00,QLD,Suburban,2654.46,Small_Business,2,1,3.29,1.29,FTTN,4G_only,Mountainous,Mixed,Medium,Sealed,30.0,0.0,18.9,0,0,0,1,0,0,Saturday,Night,83,98.0
REQ_00055,2024-12-20T23:00:00,VIC,Suburban,760.27,Detached_House,1,1,2.87,2.19,FTTN,ADSL,Outback,Sand,Low,Sealed,19.2,8.9,18.4,0,0,0,1,2,0,Friday,Night,73,105.1
REQ_00056,2024-06-23T01:00:00,QLD,Suburban,2731.68,Apartment,17,2,1.94,0.2,FTTN,ADSL,Coastal,Mixed,Low,Unsealed,23.7,4.3,24.5,0,0,0,1,29,0,Sunday,Night,81,95.3
REQ_00057,2024-04-21T15:00:00,ACT,Rural,197.15,Highrise_Office,26,14,37.6,28.25,Satellite,None,Outback,Mixed,Medium,Seasonal,18.9,2.1,11.2,0,0,0,1,2,0,Sunday,Afternoon,97,139.9
REQ_00058,2024-10-26T08:00:00,SA,Rural,84.02,Small_Business,1,1,2.53,6.34,HFC,4G_only,Outback,Clay,Medium,Sealed,14.1,5.9,17.0,0,0,0,1,16,1,Saturday,Morning,96,133.4
REQ_00059,2024-05-06T04:00:00,NT,Urban,3990.4,Townhouse,2,2,3.74,0.34,HFC,4G_only,Hilly,Mixed,High,Seasonal,28.0,0.5,19.6,0,0,0,1,6,0,Monday,Night,76,98.2
REQ_00060,2024-06-21T22:00:00,NSW,Rural,134.42,Highrise_Office,31,26,3.5,11.23,HFC,None,Coastal,Clay,High,Sealed,22.9,1.7,15.0,0,0,0,1,6,0,Friday,Night,85,87.2
REQ_00061,2024-04-07T15:00:00,SA,Urban,6233.23,Detached_House,2,1,1.38,2.48,FTTN,ADSL,Coastal,Rock,Medium,Unsealed,28.9,0.0,22.8,0,0,0,1,6,1,Sunday,Afternoon,76,91.6
REQ_00062,2024-02-25T21:00:00,SA,Rural,191.84,Small_Business,1,1,33.62,28.0,FTTP,Cable,Mountainous,Clay,Medium,Unsealed,23.8,4.7,14.4,0,0,0,1,65,0,Sunday,Evening,98,194.4
REQ_00063,2024-05-11T13:00:00,NSW,Rural,183.52,Detached_House,1,1,11.24,5.5,FTTP,None,Hilly,Clay,Low,Sealed,28.4,3.1,12.1,0,0,0,0,9,0,Saturday,Afternoon,90,105.3
REQ_00064,2024-06-27T06:00:00,WA,Suburban,1511.21,Townhouse,2,1,3.38,2.24,Fixed_Wireless,None,Outback,Sand,Medium,Sealed,30.3,1.2,23.1,0,0,0,1,9,0,Thursday,Morning,73,101.9
REQ_00065,2024-06-07T18:00:00,SA,Urban,1955.19,Apartment,16,13,0.38,1.49,Satellite,Cable,Coastal,Mixed,High,Sealed,19.7,0.5,19.5,0,0,0,0,6,0,Friday,Evening,91,117.1
REQ_00066,2024-02-18T13:00:00,WA,Urban,3430.52,Townhouse,2,1,1.53,2.74,Fixed_Wireless,Cable,Flat,Sand,Low,Sealed,25.7,0.0,13.0,0,0,0,0,46,0,Sunday,Afternoon,76,107.8
REQ_00067,2024-11-07T22:00:00,TAS,Urban,7640.76,Industrial,1,1,3.77,0.29,FTTN,4G_only,Coastal,Sand,Medium,Sealed,13.1,0.0,12.3,0,0,0,1,1,0,Thursday,Night,70,65.8
REQ_00068,2024-09-23T18:00:00,NT,Suburban,2565.51,Small_Business,1,1,4.44,2.79,FTTP,Cable,Mountainous,Mixed,Medium,Unsealed,22.0,14.8,12.0,0,0,0,1,17,0,Monday,Evening,83,123.5
REQ_00069,2024-02-07T04:00:00,SA,Urban,4990.33,Detached_House,2,1,4.41,0.87,Fixed_Wireless,None,Coastal,Clay,Medium,Sealed,26.1,1.4,23.7,0,0,0,0,7,0,Wednesday,Night,86,112.3
REQ_00070,2024-12-08T20:00:00,ACT,Urban,2931.19,Small_Business,1,1,0.5,2.66,Fixed_Wireless,None,Hilly,Rock,Medium,Sealed,13.6,1.2,16.2,0,0,0,1,11,0,Sunday,Evening,72,98.7
